nr,type,value,idvisit
2,url,https://hans.th-nuernberg.de/video-player?uuid=e76d5ffc-5115-4d15-8772-8e85acb841f0&evalId=none&role=everybody,2845
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2846
2,url,NA,2847
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2848
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2849
2,url,NA,2850
2,url,https://hans.th-nuernberg.de/video-player?uuid=133155ff-d237-4063-90bc-15e19e0d89ec&evalId=none&role=everybody,2851
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2852
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2853
2,url,NA,2854
2,url,https://hans.th-nuernberg.de/search-results?evalId=313bc85b-ad42-4267-b705-bafd5896038b&role=everybody,2855
2,url,https://hans.th-nuernberg.de/video-player?uuid=2c53ae0c-65bd-4cfa-962d-1fb3c407ed4e&evalId=none&role=everybody,2856
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2857
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2858
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2859
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2860
2,url,NA,2861
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2862
2,url,https://hans.th-nuernberg.de/video-player?uuid=e92f5395-f02a-4566-94a0-d02ded54c18a&evalId=none&role=everybody,2863
2,url,NA,2864
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2865
2,url,NA,2866
2,url,NA,2867
2,url,https://hans.th-nuernberg.de/video-player?uuid=52667a52-996c-4e36-be01-a9dd99bdfadb&evalId=none&role=everybody,2868
2,url,NA,2869
2,url,NA,2870
2,url,https://hans.th-nuernberg.de/video-player?uuid=2c53ae0c-65bd-4cfa-962d-1fb3c407ed4e&evalId=none&role=everybody,2871
2,url,NA,2872
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2873
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2873
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2874
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2874
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2875
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2875
2,url,NA,2876
2,url,NA,2876
2,url,https://hans.th-nuernberg.de/video-player?uuid=133155ff-d237-4063-90bc-15e19e0d89ec&evalId=none&role=everybody,2877
2,url,https://hans.th-nuernberg.de/video-player?uuid=133155ff-d237-4063-90bc-15e19e0d89ec&evalId=none&role=everybody,2877
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2878
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2878
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2879
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2879
2,url,NA,2880
2,url,NA,2880
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2881
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2881
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2882
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2882
2,url,NA,2883
2,url,NA,2883
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2884
2,url,https://hans.th-nuernberg.de/video-player?uuid=d2d00b66-5ffa-40e0-9cff-e26824de54e2&evalId=none&role=everybody,2884
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2885
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2885
2,url,NA,2886
2,url,NA,2886
2,url,https://hans.th-nuernberg.de/?evalId=none&role=developer,2887
2,url,https://hans.th-nuernberg.de/?evalId=none&role=developer,2887
2,url,https://hans.th-nuernberg.de/video-player?uuid=1208eada-b774-4275-afcf-568a591724d6&evalId=none&role=everybody,2888
2,url,https://hans.th-nuernberg.de/video-player?uuid=1208eada-b774-4275-afcf-568a591724d6&evalId=none&role=everybody,2888
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2889
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2889
